"","id","sleep_day","total_sleep_records","total_minutes_asleep","total_time_in_bed","hours_in_bed","hours_asleep","time_taken_to_sleep"
"1",1503960366,2020-04-12,1,327,346,5.77,5.45,19
"2",1503960366,2020-04-13,2,384,407,6.78,6.4,23
"3",1503960366,2020-04-15,1,412,442,7.37,6.87,30
"4",1503960366,2020-04-16,2,340,367,6.12,5.67,27
"5",1503960366,2020-04-17,1,700,712,11.87,11.67,12
"6",1503960366,2020-04-19,1,304,320,5.33,5.07,16
"7",1503960366,2020-04-20,1,360,377,6.28,6,17
"8",1503960366,2020-04-21,1,325,364,6.07,5.42,39
"9",1503960366,2020-04-23,1,361,384,6.4,6.02,23
"10",1503960366,2020-04-24,1,430,449,7.48,7.17,19
"11",1503960366,2020-04-25,1,277,323,5.38,4.62,46
"12",1503960366,2020-04-26,1,245,274,4.57,4.08,29
"13",1503960366,2020-04-28,1,366,393,6.55,6.1,27
"14",1503960366,2020-04-29,1,341,354,5.9,5.68,13
"15",1503960366,2020-04-30,1,404,425,7.08,6.73,21
"16",1503960366,2020-05-01,1,369,396,6.6,6.15,27
"17",1503960366,2020-05-02,1,277,309,5.15,4.62,32
"18",1503960366,2020-05-03,1,273,296,4.93,4.55,23
"19",1503960366,2020-05-05,1,247,264,4.4,4.12,17
"20",1503960366,2020-05-06,1,334,367,6.12,5.57,33
"21",1503960366,2020-05-07,1,331,349,5.82,5.52,18
"22",1503960366,2020-05-08,1,594,611,10.18,9.9,17
"23",1503960366,2020-05-09,1,338,342,5.7,5.63,4
"24",1503960366,2020-05-10,1,383,403,6.72,6.38,20
"25",1503960366,2020-05-11,1,285,306,5.1,4.75,21
"26",1644430081,2020-04-29,1,119,127,2.12,1.98,8
"27",1644430081,2020-04-30,1,124,142,2.37,2.07,18
"28",1644430081,2020-05-02,1,796,961,16.02,13.27,165
"29",1644430081,2020-05-08,1,137,154,2.57,2.28,17
"30",1844505072,2020-04-15,1,644,961,16.02,10.73,317
"31",1844505072,2020-04-30,1,722,961,16.02,12.03,239
"32",1844505072,2020-05-01,1,590,961,16.02,9.83,371
"33",1927972279,2020-04-12,3,750,775,12.92,12.5,25
"34",1927972279,2020-04-13,1,398,422,7.03,6.63,24
"35",1927972279,2020-04-15,2,475,499,8.32,7.92,24
"36",1927972279,2020-04-26,1,296,315,5.25,4.93,19
"37",1927972279,2020-04-28,1,166,178,2.97,2.77,12
"38",2026352035,2020-04-12,1,503,546,9.1,8.38,43
"39",2026352035,2020-04-13,1,531,565,9.42,8.85,34
"40",2026352035,2020-04-14,1,545,568,9.47,9.08,23
"41",2026352035,2020-04-15,1,523,573,9.55,8.72,50
"42",2026352035,2020-04-16,1,524,567,9.45,8.73,43
"43",2026352035,2020-04-17,1,437,498,8.3,7.28,61
"44",2026352035,2020-04-19,1,498,540,9,8.3,42
"45",2026352035,2020-04-20,1,461,510,8.5,7.68,49
"46",2026352035,2020-04-21,1,477,514,8.57,7.95,37
"47",2026352035,2020-04-22,1,520,545,9.08,8.67,25
"48",2026352035,2020-04-23,1,522,554,9.23,8.7,32
"49",2026352035,2020-04-24,1,555,591,9.85,9.25,36
"50",2026352035,2020-04-25,1,506,531,8.85,8.43,25
"51",2026352035,2020-04-27,1,508,545,9.08,8.47,37
"52",2026352035,2020-04-28,1,513,545,9.08,8.55,32
"53",2026352035,2020-04-29,1,490,510,8.5,8.17,20
"54",2026352035,2020-04-30,1,573,607,10.12,9.55,34
"55",2026352035,2020-05-01,1,527,546,9.1,8.78,19
"56",2026352035,2020-05-02,1,511,543,9.05,8.52,32
"57",2026352035,2020-05-04,1,538,560,9.33,8.97,22
"58",2026352035,2020-05-05,1,468,485,8.08,7.8,17
"59",2026352035,2020-05-06,1,524,548,9.13,8.73,24
"60",2026352035,2020-05-07,1,511,521,8.68,8.52,10
"61",2026352035,2020-05-08,1,541,568,9.47,9.02,27
"62",2026352035,2020-05-09,1,531,556,9.27,8.85,25
"63",2026352035,2020-05-10,1,357,380,6.33,5.95,23
"64",2026352035,2020-05-11,1,523,553,9.22,8.72,30
"65",2026352035,2020-05-12,1,456,485,8.08,7.6,29
"66",2320127002,2020-04-23,1,61,69,1.15,1.02,8
"67",2347167796,2020-04-13,1,467,531,8.85,7.78,64
"68",2347167796,2020-04-14,1,445,489,8.15,7.42,44
"69",2347167796,2020-04-15,1,452,504,8.4,7.53,52
"70",2347167796,2020-04-17,1,556,602,10.03,9.27,46
"71",2347167796,2020-04-18,1,500,557,9.28,8.33,57
"72",2347167796,2020-04-19,1,465,514,8.57,7.75,49
"73",2347167796,2020-04-21,1,460,484,8.07,7.67,24
"74",2347167796,2020-04-22,1,405,461,7.68,6.75,56
"75",2347167796,2020-04-23,1,374,386,6.43,6.23,12
"76",2347167796,2020-04-24,1,442,459,7.65,7.37,17
"77",2347167796,2020-04-25,1,433,471,7.85,7.22,38
"78",2347167796,2020-04-26,1,436,490,8.17,7.27,54
"79",2347167796,2020-04-27,1,448,499,8.32,7.47,51
"80",2347167796,2020-04-28,1,408,450,7.5,6.8,42
"81",2347167796,2020-04-29,1,411,473,7.88,6.85,62
"82",3977333714,2020-04-12,1,274,469,7.82,4.57,195
"83",3977333714,2020-04-13,2,295,456,7.6,4.92,161
"84",3977333714,2020-04-14,1,291,397,6.62,4.85,106
"85",3977333714,2020-04-15,1,424,556,9.27,7.07,132
"86",3977333714,2020-04-16,1,283,510,8.5,4.72,227
"87",3977333714,2020-04-17,1,381,566,9.43,6.35,185
"88",3977333714,2020-04-18,2,412,522,8.7,6.87,110
"89",3977333714,2020-04-19,1,219,395,6.58,3.65,176
"90",3977333714,2020-04-20,2,152,305,5.08,2.53,153
"91",3977333714,2020-04-21,1,332,512,8.53,5.53,180
"92",3977333714,2020-04-22,1,355,476,7.93,5.92,121
"93",3977333714,2020-04-23,1,235,372,6.2,3.92,137
"94",3977333714,2020-04-24,1,310,526,8.77,5.17,216
"95",3977333714,2020-04-25,1,262,467,7.78,4.37,205
"96",3977333714,2020-04-26,1,250,371,6.18,4.17,121
"97",3977333714,2020-04-27,1,349,540,9,5.82,191
"98",3977333714,2020-04-28,1,261,423,7.05,4.35,162
"99",3977333714,2020-04-29,1,333,478,7.97,5.55,145
"100",3977333714,2020-04-30,1,237,382,6.37,3.95,145
"101",3977333714,2020-05-01,1,383,626,10.43,6.38,243
"102",3977333714,2020-05-02,1,230,384,6.4,3.83,154
"103",3977333714,2020-05-03,1,292,500,8.33,4.87,208
"104",3977333714,2020-05-04,1,213,336,5.6,3.55,123
"105",3977333714,2020-05-05,1,318,480,8,5.3,162
"106",3977333714,2020-05-06,1,323,512,8.53,5.38,189
"107",3977333714,2020-05-07,1,237,443,7.38,3.95,206
"108",3977333714,2020-05-08,2,259,456,7.6,4.32,197
"109",3977333714,2020-05-10,1,312,452,7.53,5.2,140
"110",4020332650,2020-04-12,1,501,541,9.02,8.35,40
"111",4020332650,2020-04-16,1,77,77,1.28,1.28,0
"112",4020332650,2020-05-03,1,322,332,5.53,5.37,10
"113",4020332650,2020-05-04,1,478,536,8.93,7.97,58
"114",4020332650,2020-05-05,1,226,248,4.13,3.77,22
"115",4020332650,2020-05-06,1,385,408,6.8,6.42,23
"116",4020332650,2020-05-08,1,364,402,6.7,6.07,38
"117",4020332650,2020-05-10,1,442,494,8.23,7.37,52
"118",4319703577,2020-04-14,1,535,557,9.28,8.92,22
"119",4319703577,2020-04-15,1,465,491,8.18,7.75,26
"120",4319703577,2020-04-16,1,506,522,8.7,8.43,16
"121",4319703577,2020-04-18,1,515,551,9.18,8.58,36
"122",4319703577,2020-04-19,2,461,498,8.3,7.68,37
"123",4319703577,2020-04-20,1,523,543,9.05,8.72,20
"124",4319703577,2020-04-21,1,59,65,1.08,0.98,6
"125",4319703577,2020-04-22,1,533,550,9.17,8.88,17
"126",4319703577,2020-04-23,1,692,722,12.03,11.53,30
"127",4319703577,2020-04-24,1,467,501,8.35,7.78,34
"128",4319703577,2020-04-25,1,488,506,8.43,8.13,18
"129",4319703577,2020-04-26,1,505,516,8.6,8.42,11
"130",4319703577,2020-04-27,1,286,307,5.12,4.77,21
"131",4319703577,2020-04-28,1,497,522,8.7,8.28,25
"132",4319703577,2020-04-29,1,523,546,9.1,8.72,23
"133",4319703577,2020-04-30,1,490,516,8.6,8.17,26
"134",4319703577,2020-05-01,1,484,500,8.33,8.07,16
"135",4319703577,2020-05-02,1,478,506,8.43,7.97,28
"136",4319703577,2020-05-03,1,474,512,8.53,7.9,38
"137",4319703577,2020-05-06,1,450,491,8.18,7.5,41
"138",4319703577,2020-05-07,1,507,530,8.83,8.45,23
"139",4319703577,2020-05-08,1,602,638,10.63,10.03,36
"140",4319703577,2020-05-09,1,535,565,9.42,8.92,30
"141",4319703577,2020-05-10,1,487,517,8.62,8.12,30
"142",4319703577,2020-05-11,1,529,558,9.3,8.82,29
"143",4319703577,2020-05-12,1,302,321,5.35,5.03,19
"144",4388161847,2020-04-15,1,499,526,8.77,8.32,27
"145",4388161847,2020-04-16,2,426,448,7.47,7.1,22
"146",4388161847,2020-04-17,2,619,641,10.68,10.32,22
"147",4388161847,2020-04-18,1,99,104,1.73,1.65,5
"148",4388161847,2020-04-19,1,329,338,5.63,5.48,9
"149",4388161847,2020-04-20,1,421,451,7.52,7.02,30
"150",4388161847,2020-04-21,1,442,458,7.63,7.37,16
"151",4388161847,2020-04-22,1,82,85,1.42,1.37,3
"152",4388161847,2020-04-23,1,478,501,8.35,7.97,23
"153",4388161847,2020-04-24,3,552,595,9.92,9.2,43
"154",4388161847,2020-04-26,1,319,346,5.77,5.32,27
"155",4388161847,2020-04-27,1,439,500,8.33,7.32,61
"156",4388161847,2020-04-28,1,428,458,7.63,7.13,30
"157",4388161847,2020-04-30,2,409,430,7.17,6.82,21
"158",4388161847,2020-05-01,1,547,597,9.95,9.12,50
"159",4388161847,2020-05-02,2,368,376,6.27,6.13,8
"160",4388161847,2020-05-04,1,390,414,6.9,6.5,24
"161",4388161847,2020-05-05,1,471,495,8.25,7.85,24
"162",4388161847,2020-05-05,1,471,495,8.25,7.85,24
"163",4388161847,2020-05-07,1,472,496,8.27,7.87,24
"164",4388161847,2020-05-08,2,529,541,9.02,8.82,12
"165",4388161847,2020-05-09,1,62,65,1.08,1.03,3
"166",4388161847,2020-05-10,1,354,375,6.25,5.9,21
"167",4388161847,2020-05-11,1,469,494,8.23,7.82,25
"168",4445114986,2020-04-12,2,429,457,7.62,7.15,28
"169",4445114986,2020-04-13,2,370,406,6.77,6.17,36
"170",4445114986,2020-04-14,1,441,492,8.2,7.35,51
"171",4445114986,2020-04-15,2,337,379,6.32,5.62,42
"172",4445114986,2020-04-16,1,462,499,8.32,7.7,37
"173",4445114986,2020-04-17,1,98,107,1.78,1.63,9
"174",4445114986,2020-04-19,2,388,424,7.07,6.47,36
"175",4445114986,2020-04-20,1,439,462,7.7,7.32,23
"176",4445114986,2020-04-21,1,436,469,7.82,7.27,33
"177",4445114986,2020-04-22,1,388,417,6.95,6.47,29
"178",4445114986,2020-04-25,1,328,345,5.75,5.47,17
"179",4445114986,2020-04-26,2,353,391,6.52,5.88,38
"180",4445114986,2020-04-27,1,332,374,6.23,5.53,42
"181",4445114986,2020-04-28,1,419,442,7.37,6.98,23
"182",4445114986,2020-04-29,1,106,108,1.8,1.77,2
"183",4445114986,2020-04-30,1,322,353,5.88,5.37,31
"184",4445114986,2020-05-01,2,439,459,7.65,7.32,20
"185",4445114986,2020-05-02,1,502,542,9.03,8.37,40
"186",4445114986,2020-05-03,2,417,450,7.5,6.95,33
"187",4445114986,2020-05-04,2,337,363,6.05,5.62,26
"188",4445114986,2020-05-05,2,462,513,8.55,7.7,51
"189",4445114986,2020-05-06,2,374,402,6.7,6.23,28
"190",4445114986,2020-05-07,2,401,436,7.27,6.68,35
"191",4445114986,2020-05-08,1,361,391,6.52,6.02,30
"192",4445114986,2020-05-09,1,457,533,8.88,7.62,76
"193",4445114986,2020-05-10,1,405,426,7.1,6.75,21
"194",4445114986,2020-05-11,1,499,530,8.83,8.32,31
"195",4445114986,2020-05-12,1,483,501,8.35,8.05,18
"196",4558609924,2020-04-21,1,126,137,2.28,2.1,11
"197",4558609924,2020-04-26,1,103,121,2.02,1.72,18
"198",4558609924,2020-04-29,1,171,179,2.98,2.85,8
"199",4558609924,2020-05-01,1,115,129,2.15,1.92,14
"200",4558609924,2020-05-08,1,123,134,2.23,2.05,11
"201",4702921684,2020-04-12,1,425,439,7.32,7.08,14
"202",4702921684,2020-04-13,2,400,430,7.17,6.67,30
"203",4702921684,2020-04-14,1,384,415,6.92,6.4,31
"204",4702921684,2020-04-15,1,253,257,4.28,4.22,4
"205",4702921684,2020-04-16,2,382,406,6.77,6.37,24
"206",4702921684,2020-04-17,1,591,612,10.2,9.85,21
"207",4702921684,2020-04-18,1,293,312,5.2,4.88,19
"208",4702921684,2020-04-19,1,457,487,8.12,7.62,30
"209",4702921684,2020-04-20,1,454,468,7.8,7.57,14
"210",4702921684,2020-04-21,1,425,434,7.23,7.08,9
"211",4702921684,2020-04-23,1,465,475,7.92,7.75,10
"212",4702921684,2020-04-24,1,480,506,8.43,8,26
"213",4702921684,2020-04-25,1,370,380,6.33,6.17,10
"214",4702921684,2020-04-26,1,421,429,7.15,7.02,8
"215",4702921684,2020-04-27,1,432,449,7.48,7.2,17
"216",4702921684,2020-04-28,1,442,461,7.68,7.37,19
"217",4702921684,2020-04-29,1,433,447,7.45,7.22,14
"218",4702921684,2020-04-30,1,479,501,8.35,7.98,22
"219",4702921684,2020-05-03,1,327,373,6.22,5.45,46
"220",4702921684,2020-05-04,1,412,434,7.23,6.87,22
"221",4702921684,2020-05-05,1,414,428,7.13,6.9,14
"222",4702921684,2020-05-06,1,404,449,7.48,6.73,45
"223",4702921684,2020-05-07,1,520,543,9.05,8.67,23
"224",4702921684,2020-05-07,1,520,543,9.05,8.67,23
"225",4702921684,2020-05-09,1,435,458,7.63,7.25,23
"226",4702921684,2020-05-10,1,416,431,7.18,6.93,15
"227",4702921684,2020-05-11,1,354,366,6.1,5.9,12
"228",4702921684,2020-05-12,1,404,442,7.37,6.73,38
"229",5553957443,2020-04-12,1,441,464,7.73,7.35,23
"230",5553957443,2020-04-13,2,455,488,8.13,7.58,33
"231",5553957443,2020-04-14,1,357,418,6.97,5.95,61
"232",5553957443,2020-04-15,1,377,409,6.82,6.28,32
"233",5553957443,2020-04-16,2,651,686,11.43,10.85,35
"234",5553957443,2020-04-17,1,350,402,6.7,5.83,52
"235",5553957443,2020-04-18,2,520,541,9.02,8.67,21
"236",5553957443,2020-04-19,1,357,410,6.83,5.95,53
"237",5553957443,2020-04-20,1,658,678,11.3,10.97,20
"238",5553957443,2020-04-21,1,399,431,7.18,6.65,32
"239",5553957443,2020-04-22,1,322,353,5.88,5.37,31
"240",5553957443,2020-04-23,2,631,725,12.08,10.52,94
"241",5553957443,2020-04-24,2,553,640,10.67,9.22,87
"242",5553957443,2020-04-25,1,433,468,7.8,7.22,35
"243",5553957443,2020-04-26,1,412,453,7.55,6.87,41
"244",5553957443,2020-04-27,1,347,391,6.52,5.78,44
"245",5553957443,2020-04-28,1,421,457,7.62,7.02,36
"246",5553957443,2020-04-29,1,450,495,8.25,7.5,45
"247",5553957443,2020-04-30,2,775,843,14.05,12.92,68
"248",5553957443,2020-05-01,2,622,686,11.43,10.37,64
"249",5553957443,2020-05-02,1,409,471,7.85,6.82,62
"250",5553957443,2020-05-03,1,380,429,7.15,6.33,49
"251",5553957443,2020-05-04,1,447,470,7.83,7.45,23
"252",5553957443,2020-05-05,1,419,464,7.73,6.98,45
"253",5553957443,2020-05-06,1,400,434,7.23,6.67,34
"254",5553957443,2020-05-07,1,442,470,7.83,7.37,28
"255",5553957443,2020-05-08,1,568,608,10.13,9.47,40
"256",5553957443,2020-05-09,1,453,494,8.23,7.55,41
"257",5553957443,2020-05-10,1,418,443,7.38,6.97,25
"258",5553957443,2020-05-11,1,463,486,8.1,7.72,23
"259",5553957443,2020-05-12,1,438,475,7.92,7.3,37
"260",5577150313,2020-04-12,1,419,438,7.3,6.98,19
"261",5577150313,2020-04-13,1,432,458,7.63,7.2,26
"262",5577150313,2020-04-14,1,477,497,8.28,7.95,20
"263",5577150313,2020-04-15,1,392,413,6.88,6.53,21
"264",5577150313,2020-04-16,1,406,445,7.42,6.77,39
"265",5577150313,2020-04-17,1,549,583,9.72,9.15,34
"266",5577150313,2020-04-18,1,527,553,9.22,8.78,26
"267",5577150313,2020-04-19,1,449,465,7.75,7.48,16
"268",5577150313,2020-04-20,1,447,480,8,7.45,33
"269",5577150313,2020-04-21,1,414,437,7.28,6.9,23
"270",5577150313,2020-04-22,1,338,366,6.1,5.63,28
"271",5577150313,2020-04-23,1,384,402,6.7,6.4,18
"272",5577150313,2020-04-24,1,543,615,10.25,9.05,72
"273",5577150313,2020-04-25,1,421,461,7.68,7.02,40
"274",5577150313,2020-04-26,1,354,377,6.28,5.9,23
"275",5577150313,2020-04-27,1,424,452,7.53,7.07,28
"276",5577150313,2020-04-28,1,361,372,6.2,6.02,11
"277",5577150313,2020-04-29,1,459,485,8.08,7.65,26
"278",5577150313,2020-04-30,1,412,433,7.22,6.87,21
"279",5577150313,2020-05-01,1,379,398,6.63,6.32,19
"280",5577150313,2020-05-02,2,525,553,9.22,8.75,28
"281",5577150313,2020-05-03,1,508,543,9.05,8.47,35
"282",5577150313,2020-05-04,1,603,634,10.57,10.05,31
"283",5577150313,2020-05-05,1,74,78,1.3,1.23,4
"284",5577150313,2020-05-10,1,504,562,9.37,8.4,58
"285",5577150313,2020-05-11,1,431,476,7.93,7.18,45
"286",6117666160,2020-04-16,1,380,398,6.63,6.33,18
"287",6117666160,2020-04-17,2,336,350,5.83,5.6,14
"288",6117666160,2020-04-18,2,493,510,8.5,8.22,17
"289",6117666160,2020-04-19,1,465,492,8.2,7.75,27
"290",6117666160,2020-04-20,1,474,502,8.37,7.9,28
"291",6117666160,2020-04-21,1,508,550,9.17,8.47,42
"292",6117666160,2020-04-22,1,480,546,9.1,8,66
"293",6117666160,2020-04-23,1,492,539,8.98,8.2,47
"294",6117666160,2020-04-24,1,353,367,6.12,5.88,14
"295",6117666160,2020-04-27,1,542,557,9.28,9.03,15
"296",6117666160,2020-04-28,1,393,416,6.93,6.55,23
"297",6117666160,2020-04-29,1,600,636,10.6,10,36
"298",6117666160,2020-05-01,1,507,575,9.58,8.45,68
"299",6117666160,2020-05-05,1,392,415,6.92,6.53,23
"300",6117666160,2020-05-06,2,658,698,11.63,10.97,40
"301",6117666160,2020-05-07,2,498,507,8.45,8.3,9
"302",6117666160,2020-05-08,1,555,603,10.05,9.25,48
"303",6117666160,2020-05-09,1,492,522,8.7,8.2,30
"304",6775888955,2020-04-13,1,235,260,4.33,3.92,25
"305",6775888955,2020-04-14,1,423,441,7.35,7.05,18
"306",6775888955,2020-04-15,1,391,406,6.77,6.52,15
"307",6962181067,2020-04-12,1,366,387,6.45,6.1,21
"308",6962181067,2020-04-13,3,630,679,11.32,10.5,49
"309",6962181067,2020-04-14,2,508,535,8.92,8.47,27
"310",6962181067,2020-04-15,1,370,386,6.43,6.17,16
"311",6962181067,2020-04-16,1,357,366,6.1,5.95,9
"312",6962181067,2020-04-17,1,427,446,7.43,7.12,19
"313",6962181067,2020-04-18,1,442,458,7.63,7.37,16
"314",6962181067,2020-04-19,1,476,535,8.92,7.93,59
"315",6962181067,2020-04-20,1,418,424,7.07,6.97,6
"316",6962181067,2020-04-21,1,451,457,7.62,7.52,6
"317",6962181067,2020-04-22,1,425,435,7.25,7.08,10
"318",6962181067,2020-04-23,1,528,546,9.1,8.8,18
"319",6962181067,2020-04-24,1,511,514,8.57,8.52,3
"320",6962181067,2020-04-25,1,400,415,6.92,6.67,15
"321",6962181067,2020-04-26,1,441,446,7.43,7.35,5
"322",6962181067,2020-04-27,1,455,467,7.78,7.58,12
"323",6962181067,2020-04-28,1,440,453,7.55,7.33,13
"324",6962181067,2020-04-29,1,433,447,7.45,7.22,14
"325",6962181067,2020-04-30,1,422,424,7.07,7.03,2
"326",6962181067,2020-05-01,1,411,426,7.1,6.85,15
"327",6962181067,2020-05-02,1,466,482,8.03,7.77,16
"328",6962181067,2020-05-03,1,394,418,6.97,6.57,24
"329",6962181067,2020-05-04,1,442,455,7.58,7.37,13
"330",6962181067,2020-05-05,1,467,491,8.18,7.78,24
"331",6962181067,2020-05-06,1,443,462,7.7,7.38,19
"332",6962181067,2020-05-07,1,298,334,5.57,4.97,36
"333",6962181067,2020-05-08,1,541,569,9.48,9.02,28
"334",6962181067,2020-05-09,1,489,497,8.28,8.15,8
"335",6962181067,2020-05-10,1,469,481,8.02,7.82,12
"336",6962181067,2020-05-11,1,452,480,8,7.53,28
"337",6962181067,2020-05-12,1,516,535,8.92,8.6,19
"338",7007744171,2020-04-16,1,79,82,1.37,1.32,3
"339",7007744171,2020-05-01,1,58,61,1.02,0.97,3
"340",7086361926,2020-04-12,1,514,525,8.75,8.57,11
"341",7086361926,2020-04-13,1,451,465,7.75,7.52,14
"342",7086361926,2020-04-14,1,472,476,7.93,7.87,4
"343",7086361926,2020-04-15,1,377,386,6.43,6.28,9
"344",7086361926,2020-04-19,1,472,483,8.05,7.87,11
"345",7086361926,2020-04-20,1,492,502,8.37,8.2,10
"346",7086361926,2020-04-21,1,390,411,6.85,6.5,21
"347",7086361926,2020-04-22,1,428,448,7.47,7.13,20
"348",7086361926,2020-04-24,1,681,704,11.73,11.35,23
"349",7086361926,2020-04-25,1,446,447,7.45,7.43,1
"350",7086361926,2020-04-26,1,485,500,8.33,8.08,15
"351",7086361926,2020-04-27,1,469,479,7.98,7.82,10
"352",7086361926,2020-04-28,1,354,367,6.12,5.9,13
"353",7086361926,2020-04-30,1,485,489,8.15,8.08,4
"354",7086361926,2020-05-01,1,388,407,6.78,6.47,19
"355",7086361926,2020-05-02,1,440,459,7.65,7.33,19
"356",7086361926,2020-05-03,1,456,461,7.68,7.6,5
"357",7086361926,2020-05-04,1,420,436,7.27,7,16
"358",7086361926,2020-05-06,1,322,333,5.55,5.37,11
"359",7086361926,2020-05-07,1,530,548,9.13,8.83,18
"360",7086361926,2020-05-08,1,481,510,8.5,8.02,29
"361",7086361926,2020-05-09,1,427,438,7.3,7.12,11
"362",7086361926,2020-05-11,1,451,463,7.72,7.52,12
"363",7086361926,2020-05-12,1,444,457,7.62,7.4,13
"364",8053475328,2020-04-20,1,486,493,8.22,8.1,7
"365",8053475328,2020-04-23,1,331,337,5.62,5.52,6
"366",8053475328,2020-05-07,1,74,75,1.25,1.23,1
"367",8378563200,2020-04-12,1,338,356,5.93,5.63,18
"368",8378563200,2020-04-13,2,447,487,8.12,7.45,40
"369",8378563200,2020-04-14,1,424,455,7.58,7.07,31
"370",8378563200,2020-04-15,1,513,533,8.88,8.55,20
"371",8378563200,2020-04-16,2,611,689,11.48,10.18,78
"372",8378563200,2020-04-17,2,525,591,9.85,8.75,66
"373",8378563200,2020-04-18,1,398,451,7.52,6.63,53
"374",8378563200,2020-04-19,1,387,421,7.02,6.45,34
"375",8378563200,2020-04-20,1,381,409,6.82,6.35,28
"376",8378563200,2020-04-21,1,396,417,6.95,6.6,21
"377",8378563200,2020-04-22,1,441,469,7.82,7.35,28
"378",8378563200,2020-04-23,1,565,591,9.85,9.42,26
"379",8378563200,2020-04-24,1,458,492,8.2,7.63,34
"380",8378563200,2020-04-25,1,388,402,6.7,6.47,14
"381",8378563200,2020-04-25,1,388,402,6.7,6.47,14
"382",8378563200,2020-04-26,1,550,584,9.73,9.17,34
"383",8378563200,2020-04-27,1,531,600,10,8.85,69
"384",8378563200,2020-04-28,1,506,556,9.27,8.43,50
"385",8378563200,2020-04-29,1,527,562,9.37,8.78,35
"386",8378563200,2020-04-30,1,468,555,9.25,7.8,87
"387",8378563200,2020-05-01,1,475,539,8.98,7.92,64
"388",8378563200,2020-05-02,1,351,385,6.42,5.85,34
"389",8378563200,2020-05-03,1,405,429,7.15,6.75,24
"390",8378563200,2020-05-04,1,441,477,7.95,7.35,36
"391",8378563200,2020-05-05,1,381,417,6.95,6.35,36
"392",8378563200,2020-05-06,1,323,355,5.92,5.38,32
"393",8378563200,2020-05-07,2,459,513,8.55,7.65,54
"394",8378563200,2020-05-08,1,545,606,10.1,9.08,61
"395",8378563200,2020-05-09,1,359,399,6.65,5.98,40
"396",8378563200,2020-05-10,1,342,391,6.52,5.7,49
"397",8378563200,2020-05-11,1,368,387,6.45,6.13,19
"398",8378563200,2020-05-12,1,496,546,9.1,8.27,50
"399",8792009665,2020-04-12,1,458,493,8.22,7.63,35
"400",8792009665,2020-04-13,1,531,552,9.2,8.85,21
"401",8792009665,2020-04-14,1,486,503,8.38,8.1,17
"402",8792009665,2020-04-15,1,363,377,6.28,6.05,14
"403",8792009665,2020-04-20,1,528,547,9.12,8.8,19
"404",8792009665,2020-04-22,1,391,407,6.78,6.52,16
"405",8792009665,2020-04-23,1,339,360,6,5.65,21
"406",8792009665,2020-04-27,1,423,428,7.13,7.05,5
"407",8792009665,2020-04-28,1,402,416,6.93,6.7,14
"408",8792009665,2020-04-29,1,398,406,6.77,6.63,8
"409",8792009665,2020-04-30,1,343,360,6,5.72,17
"410",8792009665,2020-05-01,1,503,527,8.78,8.38,24
"411",8792009665,2020-05-02,1,415,423,7.05,6.92,8
"412",8792009665,2020-05-03,1,516,545,9.08,8.6,29
"413",8792009665,2020-05-04,1,439,463,7.72,7.32,24
